"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"RelationshipSatisfaction4","211","4",24,4237,2.72126504602313,1.09895370654961,3,2.776467118844,1.4826,1,4,3,-0.292951701517238,-1.24106351852375,0.016883021212816
"RelationshipSatisfaction5","212","5",24,1711,2.84278199883109,0.999037067867862,3,2.92841490138787,1.4826,1,4,3,-0.55061020510861,-0.73054978469391,0.024152194510905
"RelationshipSatisfaction6","213","6",24,1074,2.80353817504656,1.00211637879976,3,2.87906976744186,1.4826,1,4,3,-0.355064608037378,-0.97042338435197,0.030578488876846
"RelationshipSatisfaction7","214","7",24,1484,2.69676549865229,1.07241023163624,3,2.74579124579125,1.4826,1,4,3,-0.322946905757344,-1.14574479702568,0.027838382539178
"RelationshipSatisfaction8","215","8",24,4202,2.65016658733936,1.07952585572111,3,2.68768590124926,1.4826,1,4,3,-0.211868834584783,-1.2265105590398,0.01665348094826
"RelationshipSatisfaction9","216","9",24,3971,2.64064467388567,1.12541063870104,3,2.67579477494492,1.4826,1,4,3,-0.236031890653651,-1.3223943389522,0.017859161835625
"StockOptionLevel1","217","1",25,4340,0.828801843317972,0.910844724622548,1,0.69758064516129,1.4826,0,3,3,0.905476506402436,-0.051503327021163,0.013826093279933
"StockOptionLevel2","218","2",25,1200,0.806666666666667,0.826554020323324,1,0.688541666666667,1.4826,0,3,3,0.964793729414881,0.549724273115556,0.023860559306672
"StockOptionLevel3","219","3",25,1313,0.877380045696877,0.862169956010208,1,0.757373929590866,1.4826,0,3,3,0.908137825774524,0.321215862386016,0.023793620031141
"StockOptionLevel4","220","4",25,4237,0.721501062072221,0.813508944015785,1,0.587437334119729,1.4826,0,3,3,1.12565156800427,0.928623554862511,0.012497786464324
"StockOptionLevel5","221","5",25,1711,0.774985388661601,0.84131940886895,1,0.643535427319211,1.4826,0,3,3,1.04970326336306,0.643825526120608,0.020339295369859
"StockOptionLevel6","222","6",25,1074,0.68901303538175,0.643361942325404,1,0.630232558139535,0,0,3,3,0.72956737205486,0.977078489748855,0.019631488331471
"StockOptionLevel7","223","7",25,1484,0.830862533692722,0.810644996794091,1,0.71969696969697,1.4826,0,3,3,0.939451185472255,0.643545432685267,0.021043295614397
"StockOptionLevel8","224","8",25,4202,0.835792479771537,0.87395284517377,1,0.713563355145746,1.4826,0,3,3,0.908148608023555,0.161078401910388,0.01348217551219
"StockOptionLevel9","225","9",25,3971,0.76605389070763,0.856103301352263,1,0.650299024236701,1.4826,0,3,3,0.905425526262025,0.026021099824934,0.013585518815168
"TotalWorkingYears1","226","1",26,4340,8.1331797235023,4.7978499765295,8,7.75576036866359,2.9652,0,28,28,0.779428731534854,0.767891464052704,0.072828572780188
"TotalWorkingYears2","227","2",26,1200,26.2366666666667,6.04451009656518,25,26.01875,5.9304,9,40,31,0.055647696338958,0.0373409342157,0.174489976568566
"TotalWorkingYears3","228","3",26,1313,15.3724295506474,6.84101254973191,14,14.5195052331113,5.9304,0,36,36,0.907205038919052,0.095876927157958,0.188793928739802
"TotalWorkingYears4","229","4",26,4237,8.34151522303517,5.05215544722773,8,7.95635505750516,4.4478,0,36,36,0.695312684074198,0.119857472796833,0.077615323627956
